Company,Brief Description,Protein Category,Company Focus,Company type,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Vivera,"Over 40 varieties of plant-based meat, including plant-based steak which is sold at Tesco.",Plant-based,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,,Soy,Europe,Netherlands,,Holten,https://vivera.com/,1990,Alfredo Pina,Screen Shot 2021-01-08 at 9_26_07 PM.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/Q7eC7GV1cniqqWBJ335VOg/_tHDxHmWiXdRwGsv6Y2DxaEhOwhgwehx9NOahWnHLB9eJbck_BxiXQGNFenJQNtSGzNw4X5PmbW3hPzmBiUNQZdCqtXMIV1cGcBHoefpRPHW6-9erVBXUU7ug8cDcuoAoI177DpkahCrnHuCSYkEa_PV0AQe4mms1xRQ4eOYeYc/nPYRVCVY2DkKxf5jiPOiu_UgUSYwl1HpGh8Z9m-B0oY)
GOURMEY - Suprême SAS,"France-based company producing  restaurant-grade meats directly from animal cells, starting with cultivated foie gras",Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other meat/seafood,Duck,,Europe,France,,Paris,https://www.gourmey.com/,2019,"Nicolas Morin-Forest, Antoine Davydoff, Victor Sayous",Gourmey_Logo_Grey_Yellow-01.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/WBBTHgohCP_As4GGN9cK5A/n3zvJm92jsCQ7Z63roD_LS3QnOi9PZEu-HNfqaLRMJkLHAPYD9HDhiQhTPMvTs6dUe_gMc-d8rzp2aICeF7kit7RNENBGxVZA3nbtC7dTV0fvsi-jE9Q8gI5epGMriUDU0X9zVNhA4N0Z_zubIc3sIHrZX57ai24GV8FqXfQtXE/UTdHVyY2yFjZ6cSATWYiQbIOoojqt6j1JVNxVD4ESuM)
Steakholder Foods,Israel-based company producing 3D printed cultivated meat; collaborating with Umami Meats. (Formerly known as MeaTech 3D),Cultivated,"Meat,Bioprocessing infrastructure and equipment",Specialized (focused on alternative proteins),"Scaffolding and structure,End product formulation and manufacturing,Cell line development,Bioprocess design","Whole muscle meat/seafood,Ground meat/seafood,Other",Beef/veal,,Africa/Middle East,Israel,,Rehovot,https://steakholderfoods.com/,2019,,Meatech-menu-logo-02.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/6xawlBZgGzzaji9wVTViTg/A_iTtURDKJOl-iorz6Tk70vh8k7OAI3PxdtnR_mh3QkB1r4ZIyH5aCV5ghwxxR7A370rsbRy2C_Acco6_i2T8a2oceE7-TE_OskmQxULwWwN53_xLQYsXP3w5y_tnA0Eq6cJtOnN9UDyCP5YO9ZdcEEzUjBJcYofoIF_EOCsuIc/_HDRg-Ha5Jggfq-g80fvGaJ87PL0aWoJxDs8tCfKzr8)
TurtleTree,Singapore-based company developing cultivated dairy products.,Cultivated,Dairy,Specialized (focused on alternative proteins),"Cell culture media,Cell line development,End product formulation and manufacturing",Milk,,,Asia Pacific,Singapore,,Singapore,https://turtletreelabs.com/,2019,"Fengru Lin, Mkulima Britt, Max Rye",ftLogo.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/3jlOkB8svawX9pU4D8liZg/yK89-V8IHX-zoILgleson1wDUtX4ALx1N_IbO_5MbNXuyRbWW1j0bibnispQxgQIs2YDABeiJ0HwNCe97lTMoRpietrXj0fl1P-6vuf3-vfwtlsH6fy5NeipNMNcDCYCV0gLmY6HdWRkZyfaqrFlfQ/bM7aSfYfDzR1YsMOsLawJ_gEq9FyUPmygBTj0qkzt30)
Biomilq,U.S.-based startup producing cultivated human breast milk for infants,Cultivated,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,,U.S. and Canada,United States,North Carolina,Durham,https://www.biomilq.com/,2019,"Michelle Egger, Leila Strickland",BIOMILQ_logo_P_2022.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/K9eZwGnrbIHpuMuk5GxhUw/qc3bik0D_043cNzD2wNIlM_0l-V8_YyvDK_ZaKogKjr2zKdesLQStEzGmyERrd9DIEcI7NX_Fb08CO44hoXSaZCn9LcBoCWNfA4ejwKVi1daMMjji7zO6HZDwCqBRujEhPSuHx6w0g3LK8jkR9MydHu_qjKZ6a6xaFlUjRvkcLs/H7IRo1rBdDd8WCkNhXZC1vzgIwQsLa0JbL8FMWG4F68)
Innocent Meat,"Germany-based company providing meat processors with an automated end-to-end clean meat production system, allowing producers of conventional meat to update supply chain and produce cultivated meat.","Cultivated,Precision fermentation",Meat,Specialized (focused on alternative proteins),"Bioprocess design,Target molecule selection",Ground meat/seafood,,,Europe,Germany,,Rostock,http://www.innocent-meat.com/,2018,"Laura Gertenbach, Philipp Wolters",knst27jsbrv16robppeu.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/dyHeXTMBI-ox36kBXCnk9A/1mHxUWsvOBuwCPFiStNM6dNFPTEJBmQtj_j8bP1ncmwRhxRRIEOgtMK-KQgl3BE30fm_XFskZtkVE7IEOIOtmwRqls9cIbTOO9kFuEFbepAkpmZXhvhXHIo7kbCnTGwwnmfCBMLWOwz6xpZN3P1vmkGaIGU4abOpYggGGQfcj_U/husZShOICSNRLyxlociQ9dl7VbXWs47TAgxnF9qcx60)
Biftek,Turkey-based start-up working on cultivated meat and serum free cell culture media,Cultivated,Meat,Specialized (focused on alternative proteins),Cell culture media,,Beef/veal,,U.S. and Canada,Turkey,,Gölbaşı,http://biftek.co/,2020,"Can Akcali, Erdem Erikci",rpcu5xfvpzpfv5tl6oun.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/an8LloMbWbv6btZmXMafRg/Estx1EgpBeRRvCxdEypsnaRzfnARXfmDlEy5v1Lls6ZlF3dF9oyBJEggO54mdPxB9LmUhgXYhwX5BjdLZxPTU1Y4BtciBmZSPm-PLlco_sj7I5bkOYgbgFl-HoGrnl3A0ACyUeHrSfWRD6iNDXWxQYHmCNkJGEEjtJIQuyqR8AY/O30x7CgwOBKkxtbyT5NiwC54xQ0axQ3sv-OMk7jwl4k)
Mission Barns,"U.S.-based startup working on cultivated meat, currently offering Kosher Bacon",Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Pork,,U.S. and Canada,United States,California,San Francisco,https://www.missionbarns.com/,2018,"Eitan Fischer, David Bowman",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/vtJyFcUg75wqs173-KxJzw/rJARwYzrAhT-60138a7mVnv941rS6NaYY9bDeoXpK8uy6XoxLkxnvIGLTRzZDqSJD2ftyhKLlUJvzpPfDBIWcEzL7qZgv--HuJx_qqOuakH4kFZIjsUPVMkHTYV8HVObh1wGa_2GdBSuTSj92sgJUg/pi89d1D_LqAtlln9Ylb-vrwiKbJyFQBCkKCKRQTHF9U)
Cultured Decadence,"U.S.-based company developing novel methods to make crustacean products using cell culture, acquired by Upside Foods in 2022",Cultivated,"Meat,Seafood",Specialized (focused on alternative proteins),"Cell culture media,End product formulation and manufacturing",,"Fish,Shellfish",,U.S. and Canada,United States,Wisconsin,Madison,https://www.cultureddecadence.com/,2020,"John Pattison, Ian Johnson",download.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/DR2qfZmM29NOYiDHVBH8xg/E8b79U1BbYTb92_Kn3KBh5KIwYSbB5WFeyBwwzQBvKYeOkI8TfCQhFFtK-IG3OCUtrrk9qbejasNG5pqTF1czLjvUGDUKhET6CwfjVHCGPPCJkfGXsfVCkxO9rLLmbSl8Gl3OlDHHCNbAS-8D61zrA/VCY0Bh3vZEVkY7eqrRg4Pqw4wJy16XpbjTsQjsuwKTE)
Cell Ag Tech,Canada-based startup working to produce sustainable seafood from stem cells instead of living animals,Cultivated,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,,U.S. and Canada,Canada,Ontario,Toronto,https://cellagtech.com/,2018,"Josh Pollack, Valentin Fulga",pyoiwe1v6js22kj4s6k2.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ehFBcC3XYoKOe9mqcA3pWQ/uOVn7tGbmQGa2EWYA3NnJm14fcLtGqVHOyO3XukngqGG-5fWzEbe2JnuckYXmvquLSyh7EpclBcF17VWa-I4gz7tWBM1f1zbmpmIPoJX2VZcK6j5rbedw1ZgY2e5K3W7rU3NWaWyMX5kYa5T2QFA4u1EdAYGHq9MPb6DNJL83Jc/1pd7402GxkDFNR5nrniH1S-QP9CdXrKQZsIp3vHIWYg)
Fork & Good,U.S.-based startup working on cultivated meat,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,,,U.S. and Canada,United States,New York,New York,https://www.forkandgoode.com/,2018,"Niya Gupta, Gabor Forgacs",ForkGood_Logo.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/HQ37e40K2PhAa-I37Zdhaw/SIKyIhcixPYuunUlPd2ngRNRXTNzMMHQzRB3T5TllVqjAR60Xcg4c1ySI4HiqYiIvx4f-dLUR-swOUEqUwn3fmqv-AQHOXuCWmKYGE6xibzGOMPvcn9FGitCb2A-p8_g4Baktrz8bCiCBAYYqtloBA/xKJgoTd0lLYHNR9LVxzFIoMtZlR8OT2KWDddmQKhe1E)
IntegriCulture,Japan-based startup working on cultivated meat and leading an open-source movement,Cultivated,Meat,Specialized (focused on alternative proteins),"Cell culture media,Cell line development,Bioprocess design",,,,Asia Pacific,Japan,,Tokyo,http://integriculture.jp/?lang=en,2015,Yuki Hanyu,logo_text.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/0SwAvwsEqjLJdUl5HAt8Og/h33yyCe1eFRJ3CgGbNKmvzGOmIemyFZgeQDtW4Z95KIaIGmeL7G5maK-yqlk53oNbtIF2kVTz-Kl4Y0gDnRnALmnSMNFj6gQVHCF5sQp-m8sP55qEgm7WyQR96umqivg3mxaYbBT6JYRqsBaS5Fd0w/Hc_kRGXZpJ_VrtN6ypgyx1wag2LlSOrHxw55l6bkOKg)
Alpro,"Produces soy, almond, hazelnut, coconut, oat and rice beverages, including the first non-soy, plant- based milk alternatives to be commercialized on a large scale in Europe. Products also include plant-based alternatives to yogurt, cream, and margarine. Also manages Provamel brand.",Plant-based,Dairy,Specialized (focused on alternative proteins),End product formulation and manufacturing,Milk,,"Soy,Almond,Rice,Oat","U.S. and Canada,Europe,Africa/Middle East",Belgium,N/A,Ghent,www.alpro.com/uk,1980,subsidiary of Vandemoortele Group,download (1).jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/PmLgNalR6zf9q6zZENkcBw/-X53lRy4f8CGYlJTmHEv4BY16mT36JmWmXUsMMu9L5Jmz2T6p289QhyhcdkoqkbkORNstdxyKyCaeRnHcvOSygx2ioMQJ_dLX6xhkIu3MTABWhOT8OvenSEEReZaL7eowbdNYzvBvKtX64aX5hAAUQ/OiRK7973nudLJpjMOvIOmQ8z7BPcECNvaE-GnJsA3SM)
BlueNalu,U.S.-based startup producing cultivated seafood products,Cultivated,"Meat,Seafood",Specialized (focused on alternative proteins),End product formulation and manufacturing,Whole muscle meat/seafood,Fish,,U.S. and Canada,United States,California,San Diego,https://www.bluenalu.com/,2017,"Lou Cooperhouse, Chris Somogyi, Chris Dammann",crwil2a6rqt1m5mocbqm.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/6OfZHxDEKtthqfCvHkN6Ow/qczZpL0f8_UGedCcB-mWyh0n297aP9x9HIsP3YFQXIe_C-eIpjGZpSzuHc6srziYijKn-OknSQz2z4vqypKRPyk-Tq6Q976w1U7RbghQvkbNJaSKzYU4TovZkJaZODoZOOor-2aHMko-PkeGveCXPLaoMso4igbqQKFme0VcnHc/CLPM-J1_3VWJi3W1nKTUJul9HYn24-esiFbrTRQ6vx4)
Uncommon,U.K.-based startup working on cultivated meat,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,United Kingdom,,London,https://www.highersteaks.com/,2018,"Benjamina Bollag, Stephanie Wallis",1686254331054.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/JSY6qY8mI1NNClc6g84-4w/KIUh1kxNYGuVUSTrfcQKXyR4pMsqQkG4kjdjSzSoQzd1wCJenLW97SLkLrl2eOaBkuDuPiBhVCRHZzicxpqsrCgckk7aPgTRt76fQDS39XserM-bCpjH3tPrFty1tW-ICUpom1bxx7spVNlfJ9EV4w/fnAcWuQ80CHRxr_fYlZbKvF0nwl5LTupAKFUfG78i1Y)
Heuros,Australia-based company working on producing media and bioreactors to supply cultivated meat companies and interested research institutions,Cultivated,Meat,Specialized (focused on alternative proteins),"Cell culture media,Bioprocess design",Ground meat/seafood,Beef/veal,,Australia/New Zealand,Australia,Queensland,Brisbane,https://www.heuros.com/,2017,"Nick Beaumont, Jordan Sosnowski",download (5).png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/5jz_bgmtU7Zoh_wFTX38YQ/pjkt6UYu30ZRJmjouveALGGM2qEcNgOLHmGqF1-5PGJT7HVthz45RHG9ygvpamj0AAP1qx2TyRvJi1ftXQrWGISknsJRFJNIzHoUQyLV40rybfSbcZknRAX5wZeafIrn6srtFim7GQuT9w0EDpEw7w/Ikoi2xcVPKf3mCtO2L2zDUkJiLtYstrGzUZbxjFQ6HE)
Balletic Foods,"Startup working on creating proteins designed for improving athletic performance using precision fermentation. 
",Precision fermentation,Meat,Specialized (focused on alternative proteins),Ingredient optimization,,,,U.S. and Canada,United States,California,San Francisco,http://www.balleticfoods.com/,2017,Anita Broellochs,tmjduleedghkdolavjcn.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/mC9IR-RkDqoj7hnbnArN7g/9SecUlTvKmCQr7vwN4sxGfOmbNQptiwO3SkYEeTiaeyKMiJYlWMS2Shn6XYbl5l0nnZVcMfPFbLDmVs6xsr5py6vFTuyuqm8nU_oeDYN8angBap9yJG5YDt3aKEvWq8O1M_lp4IaR9sXUxzzpekbK1Q7P-DqmK6MNNsbkE1XbUU/fVsjSwYLRtgtt2DTz-dBv3sWA9q7lKOcClTIqYbcVoc)
Meatable,Denmark-based company producing cultivated meat products and pushing to bring cultivated meat to market by combining it with plant-based proteins. ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,,,,Europe,Netherlands,,Leiden,https://www.meatable.com/,2018,"Krijn de Nood, Daan Luining",Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/D73bqzWmgVf5xBi7pRUexg/T0Go33Y7XKNhFNlbJCAt8y7qrNvPGXjf2bZTlG-0RGwIdseJ57c1jd8UcIRuY5GV49_BvdHsOgLaKyulPTepkiw4eX40V6_fA7vhePOXR5Fq6_OaoTh5-_YZaZFPSUPLqHNEf9pu9ZR4GVtL3ehrMQ/ZuHEoOpDdgu7dG2dn-qIjE1eAlSt3cXsQYYi-GgRAXs)
Mirai Foods AG (fmr. AlphaMeats),Switzerland-based company producing cultivated meat products ,Cultivated,Meat,Specialized (focused on alternative proteins),End product formulation and manufacturing,Ground meat/seafood,Beef/veal,,Europe,Switzerland,,Zürich Area,https://www.miraifoods.com/,2019,"Christoph Mayr, Suman Kumar Das",01.jpg (https://v5.airtableusercontent.com/v2/24/24/1704348000000/JZmU4gQSZbuXdbN8zN0rQg/vVtzWqASQQFhh6jaJd4Qr8tJ78ymgpn_7rkoLYQ80qFeivagfT_rrOELzfYNAqKsGeZaNdKOUMkjW9cU7kwKJ_bgJmuR7DOkf9-6mw56JQSo04B32tx9vhIkNR_viyQzYfPo4ig2vGXmuaW4HYGeUw/uj_tiYq4wdQNpN1muqpbjIe2Wc0r2J0qkXy5Wbkvrns)
VOW Food,"Australia-based cultivated meat startup working growing unconventional and exotic animal meats (i.e. kangaroo, zebra, tortoise)",Cultivated,Meat,Specialized (focused on alternative proteins),"Cell line development,Cell culture media,End product formulation and manufacturing",Whole muscle meat/seafood,Other,,Australia/New Zealand,Australia,New South Wales,Sydney,https://www.vowfood.com/,2019,"George Peppou, Tim Noakesmith",5ece22fb94d2b6f9f63256a6_Website Mark-p-500.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/KYpV7Mg5SG7_2iYxQ4VFOg/eB8lGxUsG1GKaUPSmph1A8yERaMEXWGzc8lvAcgCFv_O6hViV93MZfmG1tpRVV7dkKnIstfikK9CsSiJb7oOKHQeDL5G8FLQ-y9HN2JUTNFybU2uQP0nKMN8QCqXELdipNrvQDEtN4vyEo4YWB6s4DmiYB1sOMfMn3hc6cbTGl62E6w6wM7FQsJe8_sDE5SU/gzA_BcvsmSj8iNdoMHNjlIy6wUnNpt1bCpH1Y0K7anc)
Eggless,"Produces eggless mayos, soy and pea varieties are available. ",Plant-based,Eggs,Specialized (focused on alternative proteins),End product formulation and manufacturing,Other,,"Soy,Pea",Latin America,Chile,N/A,Santiago,http://www.eggless.cl/,2011,Matias Muchnick,Capture.JPG (https://v5.airtableusercontent.com/v2/24/24/1704348000000/ss-rfVDIFhv_glO7xSweZw/0tTkjAuyr9JQi-Z2cqepMf4EN9or0vCmFBBR0fIjET-FISI5v9-GbUY-MOeBq8m-mn4f3yUR4Mlx0SKPA3T9WDHXkMkSZLgBmYXGaOqqyXvtDUCm8mrNY_ebUhLPuLJoeTMe0G6ELCSfpthOJbex6A/QoVW2YrCo6hF2vDMpdj0Cm0HmH1JrGWtfiEmASlFv2k)
"Eat Just, Inc. ","U.S.-based company with a plant-based egg brand called JUST Egg and a cultivated meat subsidiary called GOOD Meat, with plant-based products including liquid egg, folded egg, and sous vide egg bites as well as cultivated meat (chicken).  ","Plant-based,Cultivated","Meat,Eggs",Specialized (focused on alternative proteins),End product formulation and manufacturing,"Ground meat/seafood,Eggs",Chicken,Mung Bean,"U.S. and Canada,Asia Pacific",United States,California,San Francisco,"https://www.ju.st 
https://goodmeat.co",2011,"Josh Tetrick, Josh Balk",eib38f3x2wa0tlig29wf.png (https://v5.airtableusercontent.com/v2/24/24/1704348000000/74YGoQJO5okO_Hzt_S2i1Q/_W4PvDPk01wwJJYw51WbzyVp0UbFBz46UTGycSQCAZ1An_hCqQ12enVIQWm-JsNNZ-Ml6saiEgSCNDd9ZwyFP0OdVQAXEF7ZA8HdBgq0fKKdtCO36bFRubF3mJMt2c4exDuJIfLYhzRpHEShfOaYCLAVpFlDRHpL0lINoKmpMKU/1C7Tvb7VCceHcWHwcKYpyXy1O_aSqxpZVvI8QM3F-nI)
